Labels,800-EX,
Type,Excitation Scan,
Comment,,
Start,250.00,
Stop,780.00,
Step,1.00,
Fixed/Offset,800.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,29.050,
Scan Polariser,None,
Scan Slit,4.0000019,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,3.9999883,
Detector,Det2,

250.00,1.39369932E+4,
251.00,-1.31254004E+4,
252.00,1.53362617E+4,
253.00,1.53877656E+4,
254.00,9.09073340E+3,
255.00,-6.71154785E+3,
256.00,-4.81574463E+3,
257.00,1.50870479E+4,
258.00,4.04012061E+3,
259.00,8.12232080E+3,
260.00,1.10084053E+4,
261.00,8.74207910E+3,
262.00,7.10679883E+3,
263.00,5.12168408E+3,
264.00,1.17455654E+4,
265.00,1.33368721E+4,
266.00,8.24987793E+3,
267.00,6.73694971E+3,
268.00,7.11319238E+3,
269.00,5.11532813E+3,
270.00,1.00597275E+4,
271.00,6.92391797E+3,
272.00,7.66961133E+3,
273.00,9.75209961E+3,
274.00,8.08251660E+3,
275.00,1.08332646E+4,
276.00,7.69568994E+3,
277.00,1.01638857E+4,
278.00,1.09048135E+4,
279.00,1.31341299E+4,
280.00,9.34302344E+3,
281.00,1.10203965E+4,
282.00,1.16227822E+4,
283.00,1.07227461E+4,
284.00,1.03624180E+4,
285.00,9.04993652E+3,
286.00,1.06923213E+4,
287.00,1.03084150E+4,
288.00,1.14170850E+4,
289.00,1.31235195E+4,
290.00,1.08810938E+4,
291.00,1.10163125E+4,
292.00,9.24465039E+3,
293.00,9.20813770E+3,
294.00,9.79248242E+3,
295.00,1.06595840E+4,
296.00,9.10966602E+3,
297.00,9.36914648E+3,
298.00,9.77408203E+3,
299.00,9.41135645E+3,
300.00,8.65421973E+3,
301.00,7.78133154E+3,
302.00,8.11885303E+3,
303.00,7.48886816E+3,
304.00,7.06058105E+3,
305.00,6.43907959E+3,
306.00,6.37770557E+3,
307.00,6.30032324E+3,
308.00,5.13319629E+3,
309.00,4.69184521E+3,
310.00,3.74392285E+3,
311.00,4.32020557E+3,
312.00,4.56152393E+3,
313.00,3.56865918E+3,
314.00,4.35168848E+3,
315.00,2.91022559E+3,
316.00,3.46705225E+3,
317.00,2.76472583E+3,
318.00,2.42170605E+3,
319.00,2.76285962E+3,
320.00,2.54632910E+3,
321.00,2.26976709E+3,
322.00,1.87893140E+3,
323.00,1.63288367E+3,
324.00,2.06735376E+3,
325.00,1.75002136E+3,
326.00,1.92089563E+3,
327.00,1.26245410E+3,
328.00,1.10794360E+3,
329.00,1.29902393E+3,
330.00,1.38573743E+3,
331.00,1.11693726E+3,
332.00,8.96136169E+2,
333.00,1.00306854E+3,
334.00,1.11639575E+3,
335.00,4.96688568E+2,
336.00,7.64781006E+2,
337.00,5.78753174E+2,
338.00,3.91220123E+2,
339.00,8.45218201E+2,
340.00,3.21491730E+2,
341.00,6.00917419E+2,
342.00,5.62630615E+2,
343.00,4.54303772E+2,
344.00,7.95443359E+2,
345.00,6.24788635E+2,
346.00,3.10722778E+2,
347.00,4.88490509E+2,
348.00,4.60562256E+2,
349.00,8.30909424E+2,
350.00,3.27207733E+2,
351.00,3.70678833E+2,
352.00,4.67531738E+2,
353.00,2.53582916E+2,
354.00,2.24763519E+2,
355.00,4.78764557E+2,
356.00,4.69193207E+2,
357.00,4.57043091E+2,
358.00,4.87775452E+2,
359.00,5.58922180E+2,
360.00,4.93810974E+2,
361.00,5.04269836E+2,
362.00,3.58230316E+2,
363.00,3.09827789E+2,
364.00,5.40214233E+2,
365.00,6.47834900E+2,
366.00,8.42339844E+2,
367.00,8.89385437E+2,
368.00,8.01165405E+2,
369.00,9.04408264E+2,
370.00,8.91143433E+2,
371.00,1.15662927E+3,
372.00,1.11375232E+3,
373.00,1.49982410E+3,
374.00,1.48972937E+3,
375.00,1.58939709E+3,
376.00,1.63418103E+3,
377.00,2.21591333E+3,
378.00,2.28633813E+3,
379.00,2.56497852E+3,
380.00,2.74518262E+3,
381.00,2.84582715E+3,
382.00,3.11901611E+3,
383.00,3.28700586E+3,
384.00,3.52200708E+3,
385.00,4.24586230E+3,
386.00,4.30022363E+3,
387.00,4.57395361E+3,
388.00,4.85926807E+3,
389.00,5.03234082E+3,
390.00,5.51841748E+3,
391.00,6.02721826E+3,
392.00,6.32650977E+3,
393.00,6.68519287E+3,
394.00,7.33811328E+3,
395.00,7.55783252E+3,
396.00,8.16206787E+3,
397.00,8.47113770E+3,
398.00,8.76773926E+3,
399.00,9.15330566E+3,
400.00,9.94826953E+3,
401.00,1.04296680E+4,
402.00,1.13391240E+4,
403.00,1.15920771E+4,
404.00,1.19598848E+4,
405.00,1.25750615E+4,
406.00,1.34934033E+4,
407.00,1.42600967E+4,
408.00,1.51591084E+4,
409.00,1.53551914E+4,
410.00,1.64384277E+4,
411.00,1.72628262E+4,
412.00,1.74773613E+4,
413.00,1.84175684E+4,
414.00,1.90321758E+4,
415.00,2.00436152E+4,
416.00,2.11046953E+4,
417.00,2.19707207E+4,
418.00,2.25409785E+4,
419.00,2.33348379E+4,
420.00,2.44247227E+4,
421.00,2.53804219E+4,
422.00,2.58997070E+4,
423.00,2.68194336E+4,
424.00,2.74356602E+4,
425.00,2.86495117E+4,
426.00,2.93802910E+4,
427.00,2.93612031E+4,
428.00,3.09268848E+4,
429.00,3.19283281E+4,
430.00,3.27691836E+4,
431.00,3.29804219E+4,
432.00,3.36386992E+4,
433.00,3.46920781E+4,
434.00,3.55442734E+4,
435.00,3.57670664E+4,
436.00,3.65483281E+4,
437.00,3.73776016E+4,
438.00,3.78107773E+4,
439.00,3.82517461E+4,
440.00,3.93197305E+4,
441.00,3.92011836E+4,
442.00,3.99605547E+4,
443.00,4.07380469E+4,
444.00,4.14717656E+4,
445.00,4.15795469E+4,
446.00,4.23182891E+4,
447.00,4.19322734E+4,
448.00,4.23244492E+4,
449.00,4.25733320E+4,
450.00,4.28145742E+4,
451.00,4.32111875E+4,
452.00,4.35536367E+4,
453.00,4.35226758E+4,
454.00,4.41165156E+4,
