Labels,RT,
Type,Emission Scan,
Comment,,
Start,650.00,
Stop,1700.00,
Step,1.00,
Fixed/Offset,450.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,28.50,
Scan Polariser,None,
Scan Slit,5.0999708,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,5.1000133,
Detector,Det2,

650.00,4.02202698E+2,
651.00,4.95086578E+2,
652.00,4.47913696E+2,
653.00,4.51539642E+2,
654.00,4.73697998E+2,
655.00,5.81025696E+2,
656.00,7.91658386E+2,
657.00,7.03213135E+2,
658.00,6.27882324E+2,
659.00,6.66584900E+2,
660.00,8.71880920E+2,
661.00,8.34450134E+2,
662.00,1.02959314E+3,
663.00,1.11057837E+3,
664.00,1.09437268E+3,
665.00,1.28443188E+3,
666.00,1.36183423E+3,
667.00,1.38185876E+3,
668.00,1.55083105E+3,
669.00,1.67046777E+3,
670.00,1.81322449E+3,
671.00,1.88608191E+3,
672.00,1.84300903E+3,
673.00,2.12300708E+3,
674.00,2.37491235E+3,
675.00,2.47354907E+3,
676.00,2.80981226E+3,
677.00,2.83877515E+3,
678.00,3.06554883E+3,
679.00,3.30834326E+3,
680.00,3.51684985E+3,
681.00,3.82128955E+3,
682.00,3.91988696E+3,
683.00,4.27637842E+3,
684.00,4.51610205E+3,
685.00,4.86199561E+3,
686.00,5.04484473E+3,
687.00,5.20910596E+3,
688.00,5.55864404E+3,
689.00,6.08377588E+3,
690.00,6.54935107E+3,
691.00,7.12227246E+3,
692.00,7.53875488E+3,
693.00,8.41103125E+3,
694.00,8.56158105E+3,
695.00,9.18954883E+3,
696.00,9.62664063E+3,
697.00,9.96348633E+3,
698.00,1.04497441E+4,
699.00,1.05463438E+4,
700.00,1.09087754E+4,
701.00,1.16148926E+4,
702.00,1.18917988E+4,
703.00,1.24130469E+4,
704.00,1.28315674E+4,
705.00,1.31281777E+4,
706.00,1.36195625E+4,
707.00,1.44345332E+4,
708.00,1.47467900E+4,
709.00,1.54045742E+4,
710.00,1.62001904E+4,
711.00,1.66336484E+4,
712.00,1.71907539E+4,
713.00,1.76558125E+4,
714.00,1.81413203E+4,
715.00,1.87515820E+4,
716.00,1.92032402E+4,
717.00,1.91996270E+4,
718.00,1.99818242E+4,
719.00,2.02407617E+4,
720.00,2.05632109E+4,
721.00,2.06084746E+4,
722.00,2.10154102E+4,
723.00,2.12326543E+4,
724.00,2.13851152E+4,
725.00,2.20850215E+4,
726.00,2.19803066E+4,
727.00,2.25578750E+4,
728.00,2.31264688E+4,
729.00,2.34700488E+4,
730.00,2.36084180E+4,
731.00,2.39989316E+4,
732.00,2.46749121E+4,
733.00,2.45540820E+4,
734.00,2.51724824E+4,
735.00,2.50807227E+4,
736.00,2.56667266E+4,
737.00,2.56733477E+4,
738.00,2.60146719E+4,
739.00,2.62443164E+4,
740.00,2.71165020E+4,
741.00,2.68114238E+4,
742.00,2.76761504E+4,
743.00,2.75482012E+4,
744.00,2.76789746E+4,
745.00,2.77869551E+4,
746.00,2.84937266E+4,
747.00,2.89679238E+4,
748.00,2.86652988E+4,
749.00,2.95295547E+4,
750.00,2.96460996E+4,
751.00,2.97000918E+4,
752.00,2.98488281E+4,
753.00,3.02262695E+4,
754.00,3.05380234E+4,
755.00,3.09313340E+4,
756.00,3.09368965E+4,
757.00,3.14119121E+4,
758.00,3.12564473E+4,
759.00,3.13864629E+4,
760.00,3.15928906E+4,
761.00,3.17301934E+4,
762.00,3.20258125E+4,
763.00,3.22337813E+4,
764.00,3.15049863E+4,
765.00,3.26706992E+4,
766.00,3.28426328E+4,
767.00,3.24395039E+4,
768.00,3.26697070E+4,
769.00,3.32313203E+4,
770.00,3.34593711E+4,
771.00,3.31109297E+4,
772.00,3.35926875E+4,
773.00,3.37693594E+4,
774.00,3.34375898E+4,
775.00,3.39712422E+4,
776.00,3.40047539E+4,
777.00,3.35270117E+4,
778.00,3.43268281E+4,
779.00,3.47905977E+4,
780.00,3.46625313E+4,
781.00,3.49351367E+4,
782.00,3.46742031E+4,
783.00,3.48412227E+4,
784.00,3.54201211E+4,
785.00,3.51910391E+4,
786.00,3.54531328E+4,
787.00,3.54047070E+4,
788.00,3.52895625E+4,
789.00,3.52935117E+4,
790.00,3.54295586E+4,
791.00,3.52235313E+4,
792.00,3.52294023E+4,
793.00,3.56287383E+4,
794.00,3.57434844E+4,
795.00,3.54264336E+4,
796.00,3.56778555E+4,
797.00,3.59618828E+4,
798.00,3.58182422E+4,
799.00,3.59699688E+4,
800.00,3.64193906E+4,
801.00,3.61651914E+4,
802.00,3.63247070E+4,
803.00,3.56935977E+4,
804.00,3.60038477E+4,
805.00,3.60180938E+4,
806.00,3.59713555E+4,
807.00,3.59379375E+4,
808.00,3.61339570E+4,
809.00,3.64707031E+4,
810.00,3.62886836E+4,
811.00,3.62194258E+4,
812.00,3.62372422E+4,
813.00,3.63604453E+4,
814.00,3.63548242E+4,
815.00,3.60848008E+4,
816.00,3.62472344E+4,
817.00,3.57931094E+4,
818.00,3.64098672E+4,
819.00,3.61051484E+4,
820.00,3.60032344E+4,
821.00,3.56259297E+4,
822.00,3.63668555E+4,
823.00,3.61473047E+4,
824.00,3.58518438E+4,
825.00,3.58630469E+4,
826.00,3.59747734E+4,
827.00,3.53683242E+4,
828.00,3.59372070E+4,
829.00,3.53396523E+4,
830.00,3.53198164E+4,
831.00,3.56397305E+4,
832.00,3.52856719E+4,
833.00,3.52854883E+4,
834.00,3.55071992E+4,
835.00,3.53207617E+4,
836.00,3.49414219E+4,
837.00,3.52501406E+4,
838.00,3.49128438E+4,
839.00,3.48732500E+4,
840.00,3.47045625E+4,
841.00,3.51314453E+4,
842.00,3.46761719E+4,
843.00,3.46679414E+4,
844.00,3.43344453E+4,
845.00,3.42396484E+4,
846.00,3.40953711E+4,
847.00,3.41519531E+4,
848.00,3.40139961E+4,
849.00,3.40072031E+4,
850.00,3.39377461E+4,
851.00,3.36308906E+4,
852.00,3.35298047E+4,
853.00,3.37715508E+4,
854.00,3.38729766E+4,
855.00,3.31233008E+4,
856.00,3.32914180E+4,
857.00,3.30112148E+4,
858.00,3.31285156E+4,
859.00,3.28040039E+4,
860.00,3.27405625E+4,
861.00,3.30370703E+4,
862.00,3.26702734E+4,
863.00,3.22221895E+4,
864.00,3.24145371E+4,
865.00,3.20524473E+4,
866.00,3.17789824E+4,
867.00,3.19107773E+4,
868.00,3.18122383E+4,
869.00,3.14844375E+4,
870.00,3.12764160E+4,
871.00,3.09070293E+4,
872.00,3.06064238E+4,
873.00,3.12171953E+4,
874.00,3.05007520E+4,
875.00,3.02121758E+4,
876.00,3.01645410E+4,
877.00,3.01833496E+4,
878.00,2.96998730E+4,
879.00,2.94428594E+4,
880.00,2.96032461E+4,
881.00,2.94377832E+4,
882.00,2.90200117E+4,
883.00,2.89711738E+4,
884.00,2.89886191E+4,
885.00,2.85080059E+4,
886.00,2.84148770E+4,
887.00,2.81152070E+4,
888.00,2.81725547E+4,
889.00,2.79718926E+4,
890.00,2.77597031E+4,
891.00,2.73924531E+4,
892.00,2.71344492E+4,
893.00,2.70125215E+4,
894.00,2.69221426E+4,
895.00,2.66475215E+4,
896.00,2.63629883E+4,
897.00,2.63690449E+4,
898.00,2.61510527E+4,
899.00,2.57356953E+4,
900.00,2.54982637E+4,
901.00,2.52828047E+4,
902.00,2.50338945E+4,
903.00,2.48439492E+4,
904.00,2.45763047E+4,
905.00,2.43089199E+4,
906.00,2.40544629E+4,
907.00,2.40724434E+4,
908.00,2.39613359E+4,
909.00,2.34441465E+4,
910.00,2.34506406E+4,
911.00,2.32342051E+4,
912.00,2.30548496E+4,
913.00,2.32134629E+4,
914.00,2.25974941E+4,
915.00,2.23924258E+4,
916.00,2.22871699E+4,
917.00,2.20260527E+4,
918.00,2.20418633E+4,
919.00,2.16168926E+4,
920.00,2.13669512E+4,
921.00,2.11188770E+4,
922.00,2.09973711E+4,
923.00,2.06816387E+4,
924.00,2.03998184E+4,
925.00,2.01491328E+4,
926.00,2.01961016E+4,
927.00,1.96814805E+4,
928.00,1.97507188E+4,
929.00,1.93194883E+4,
930.00,1.90757383E+4,
931.00,1.89303066E+4,
932.00,1.88860332E+4,
933.00,1.84603965E+4,
934.00,1.83608848E+4,
935.00,1.83490742E+4,
936.00,1.79782832E+4,
937.00,1.76642480E+4,
938.00,1.74927969E+4,
939.00,1.71579434E+4,
940.00,1.69928848E+4,
941.00,1.66256074E+4,
942.00,1.66029805E+4,
943.00,1.66379980E+4,
944.00,1.63718447E+4,
945.00,1.60610938E+4,
946.00,1.57542900E+4,
947.00,1.57018467E+4,
948.00,1.53872061E+4,
949.00,1.52910322E+4,
950.00,1.50536426E+4,
951.00,1.48872881E+4,
952.00,1.46970332E+4,
953.00,1.43764219E+4,
954.00,1.43748691E+4,
955.00,1.40793135E+4,
956.00,1.39146553E+4,
957.00,1.37260469E+4,
958.00,1.35273379E+4,
959.00,1.33365293E+4,
960.00,1.32119473E+4,
961.00,1.30578691E+4,
962.00,1.28459092E+4,
963.00,1.26093174E+4,
964.00,1.25419082E+4,
965.00,1.22898291E+4,
966.00,1.21196035E+4,
967.00,1.19433857E+4,
968.00,1.18451172E+4,
969.00,1.15958516E+4,
970.00,1.16266592E+4,
971.00,1.13464063E+4,
972.00,1.11909238E+4,
973.00,1.09896729E+4,
974.00,1.09426514E+4,
975.00,1.08111338E+4,
976.00,1.06883193E+4,
977.00,1.04892461E+4,
978.00,1.03933516E+4,
979.00,1.02354258E+4,
980.00,1.01138057E+4,
981.00,9.97097070E+3,
982.00,9.79409277E+3,
983.00,9.62775098E+3,
984.00,9.42366309E+3,
985.00,9.34489355E+3,
986.00,9.34305273E+3,
987.00,9.08509277E+3,
988.00,9.08966016E+3,
989.00,8.85338086E+3,
990.00,8.77683984E+3,
991.00,8.53561816E+3,
992.00,8.52145605E+3,
993.00,8.48739355E+3,
994.00,8.28286523E+3,
995.00,8.08684229E+3,
996.00,8.03965234E+3,
997.00,7.88217773E+3,
998.00,7.71729834E+3,
999.00,7.66144678E+3,
1000.00,7.57549561E+3,
1001.000,7.56812012E+3,
1002.000,7.30064502E+3,
1003.000,7.20202637E+3,
1004.000,6.99922119E+3,
1005.000,6.97382764E+3,
1006.000,6.78486816E+3,
1007.000,6.82762500E+3,
1008.000,6.65654590E+3,
1009.000,6.41604785E+3,
1010.00,6.48710791E+3,
1011.000,6.29256787E+3,
1012.000,6.23862842E+3,
1013.000,6.09405469E+3,
1014.000,6.03615576E+3,
1015.000,5.95741797E+3,
1016.000,5.83420752E+3,
1017.000,5.76751318E+3,
1018.000,5.65258301E+3,
1019.000,5.63429199E+3,
1020.00,5.53682861E+3,
1021.000,5.48815137E+3,
1022.000,5.22770947E+3,
1023.000,5.23678613E+3,
1024.000,5.15457324E+3,
1025.000,5.05305322E+3,
1026.000,5.02025732E+3,
1027.000,4.93745361E+3,
1028.000,4.81884766E+3,
1029.000,4.77479199E+3,
1030.00,4.70984180E+3,
1031.000,4.62170264E+3,
1032.000,4.56049854E+3,
1033.000,4.52475879E+3,
1034.000,4.42427100E+3,
1035.000,4.41222705E+3,
1036.000,4.34626221E+3,
1037.000,4.16772803E+3,
1038.000,4.16639063E+3,
1039.000,4.00526001E+3,
1040.00,4.04130542E+3,
1041.000,3.92777490E+3,
1042.000,3.92496069E+3,
1043.000,3.81012451E+3,
1044.000,3.74071582E+3,
1045.000,3.69503857E+3,
1046.000,3.62468140E+3,
1047.000,3.62478882E+3,
1048.000,3.56072998E+3,
1049.000,3.40868018E+3,
1050.00,3.34249805E+3,
1051.000,3.30549731E+3,
1052.000,3.32055298E+3,
1053.000,3.26111353E+3,
1054.000,3.20672583E+3,
1055.000,3.12354907E+3,
1056.000,3.11899463E+3,
1057.000,3.02301245E+3,
1058.000,2.99618896E+3,
1059.000,2.99785352E+3,
1060.00,2.91099634E+3,
1061.000,2.83175342E+3,
1062.000,2.80856348E+3,
1063.000,2.74440552E+3,
1064.000,2.74506958E+3,
1065.000,2.68145923E+3,
1066.000,2.65421973E+3,
1067.000,2.56846924E+3,
1068.000,2.53454785E+3,
1069.000,2.50374023E+3,
1070.00,2.49117749E+3,
1071.000,2.45231250E+3,
1072.000,2.43018140E+3,
1073.000,2.35329272E+3,
1074.000,2.29770459E+3,
1075.000,2.35778589E+3,
1076.000,2.19956763E+3,
1077.000,2.19021631E+3,
1078.000,2.15463379E+3,
1079.000,2.13568750E+3,
1080.00,2.10659009E+3,
1081.000,2.10153125E+3,
1082.000,2.02684265E+3,
1083.000,1.99993762E+3,
1084.000,1.98247974E+3,
1085.000,1.94888513E+3,
1086.000,1.89578357E+3,
1087.000,1.88498425E+3,
1088.000,1.83682690E+3,
1089.000,1.84256677E+3,
1090.00,1.77864136E+3,
1091.000,1.73206897E+3,
1092.000,1.75238477E+3,
1093.000,1.70533215E+3,
1094.000,1.66239099E+3,
1095.000,1.62003687E+3,
1096.000,1.63035449E+3,
1097.000,1.64828210E+3,
1098.000,1.59603589E+3,
1099.000,1.56868323E+3,
1100.00,1.51305176E+3,
1101.000,1.51790015E+3,
1102.000,1.48223682E+3,
1103.000,1.49044824E+3,
1104.000,1.43200769E+3,
1105.000,1.41320337E+3,
1106.000,1.37841467E+3,
1107.000,1.34369019E+3,
1108.000,1.34346289E+3,
1109.000,1.31554309E+3,
1110.00,1.32311499E+3,
1111.000,1.26114648E+3,
1112.000,1.25887561E+3,
1113.000,1.26214600E+3,
1114.000,1.21108972E+3,
1115.000,1.23674670E+3,
1116.000,1.21282837E+3,
1117.000,1.15487134E+3,
1118.000,1.14578894E+3,
1119.000,1.13010217E+3,
1120.00,1.10971497E+3,
1121.000,1.11849878E+3,
1122.000,1.11759302E+3,
1123.000,1.09679663E+3,
1124.000,1.04721008E+3,
1125.000,1.02810645E+3,
1126.000,1.01769196E+3,
1127.000,1.04005920E+3,
1128.000,1.03648169E+3,
1129.000,9.88259460E+2,
1130.00,9.76321411E+2,
1131.000,9.36335144E+2,
1132.000,9.12650635E+2,
1133.000,9.46787964E+2,
1134.000,9.33506653E+2,
1135.000,9.12192810E+2,
1136.000,9.12486816E+2,
1137.000,9.07171448E+2,
1138.000,8.59621094E+2,
1139.000,8.33690735E+2,
1140.00,8.38661194E+2,
1141.000,8.53660339E+2,
1142.000,8.43264587E+2,
1143.000,7.88833252E+2,
1144.000,8.35544250E+2,
1145.000,7.88412354E+2,
1146.000,7.84660583E+2,
1147.000,7.81317932E+2,
1148.000,7.53225647E+2,
1149.000,7.49845398E+2,
1150.00,7.53861938E+2,
1151.000,7.20850830E+2,
1152.000,7.37614380E+2,
1153.000,7.19584656E+2,
1154.000,7.44566528E+2,
1155.000,6.96071350E+2,
1156.000,7.08111938E+2,
1157.000,7.00770508E+2,
1158.000,7.14156677E+2,
1159.000,6.81289612E+2,
1160.00,6.96068848E+2,
1161.000,6.82372437E+2,
1162.000,6.86163269E+2,
1163.000,6.67723389E+2,
1164.000,6.87274231E+2,
1165.000,6.53922729E+2,
1166.000,6.46993408E+2,
1167.000,6.41309265E+2,
1168.000,6.51634277E+2,
1169.000,6.70188354E+2,
1170.00,6.35840027E+2,
1171.000,6.28695679E+2,
1172.000,6.43185364E+2,
1173.000,6.04633057E+2,
1174.000,6.26850647E+2,
1175.000,6.29449036E+2,
1176.000,6.13211914E+2,
1177.000,6.22856934E+2,
1178.000,5.90921265E+2,
1179.000,6.23602722E+2,
1180.00,5.96163635E+2,
1181.000,6.18874695E+2,
1182.000,6.14055481E+2,
1183.000,6.17647461E+2,
1184.000,6.08758728E+2,
1185.000,5.78464111E+2,
1186.000,6.10945740E+2,
1187.000,6.14122070E+2,
1188.000,6.31648926E+2,
1189.000,6.09341736E+2,
1190.00,5.95471130E+2,
1191.000,6.28250671E+2,
1192.000,6.23989746E+2,
1193.000,6.13074219E+2,
1194.000,6.31929626E+2,
1195.000,6.39080078E+2,
1196.000,6.34853821E+2,
1197.000,6.19373596E+2,
1198.000,6.38859680E+2,
1199.000,6.39841492E+2,
1200.00,6.43029846E+2,
1201.000,6.56467834E+2,
1202.000,6.56555298E+2,
1203.000,6.70357544E+2,
1204.000,6.62324951E+2,
1205.000,6.67996216E+2,
1206.000,6.71781433E+2,
1207.000,6.93055786E+2,
1208.000,6.93806458E+2,
1209.000,6.93444824E+2,
1210.00,7.12293335E+2,
1211.000,7.27831360E+2,
1212.000,7.26732422E+2,
1213.000,7.30271790E+2,
1214.000,7.58433289E+2,
1215.000,7.52014038E+2,
1216.000,7.66393127E+2,
1217.000,7.74069458E+2,
1218.000,7.72134033E+2,
